DNI,1,Oliver,Yansons,oyansons0@cnet.com
DNI,2,Myrtle,Cloute,mcloute1@unicef.org
DNI,3,Venita,Morde,vmorde2@accuweather.com
DNI,4,Callie,Lutton,clutton3@biglobe.ne.jp
DNI,5,Drusilla,Buttle,dbuttle4@nifty.com
DNI,6,Farlay,Sutterfield,fsutterfield5@rakuten.co.jp
DNI,7,Ilsa,Frawley,ifrawley6@nymag.com
DNI,8,Giff,Kliemchen,gkliemchen7@bluehost.com
DNI,9,Jocko,Dunklee,jdunklee8@accuweather.com
DNI,10,Lory,Millyard,lmillyard9@sfgate.com
DNI,11,Corrianne,Brightey,cbrighteya@alibaba.com
DNI,12,Liz,Boddie,lboddieb@networksolutions.com
DNI,13,Giavani,Sharply,gsharplyc@unblog.fr
DNI,14,Madelle,Kiddell,mkiddelld@over-blog.com
DNI,15,Tally,Fullick,tfullicke@over-blog.com
DNI,16,Jody,Rosenberger,jrosenbergerf@wiley.com
DNI,17,Broddy,Ebben,bebbeng@elegantthemes.com
DNI,18,Nahum,Musgrave,nmusgraveh@exblog.jp
DNI,19,Quintina,Lickorish,qlickorishi@google.de
DNI,20,Lizzie,Westmoreland,lwestmorelandj@ftc.gov
DNI,21,Corene,Gallafant,cgallafantk@weibo.com
DNI,22,Erna,Tixall,etixalll@ocn.ne.jp
DNI,23,Zelma,Demke,zdemkem@geocities.com
DNI,24,Karole,Aronowitz,karonowitzn@sogou.com
DNI,25,Sutherlan,Belchamber,sbelchambero@sphinn.com
DNI,26,Wittie,Ashenhurst,washenhurstp@adobe.com
DNI,27,Tymothy,Aloshikin,taloshikinq@fema.gov
DNI,28,Brandea,Fleet,bfleetr@fastcompany.com
DNI,29,Veronika,Eim,veims@photobucket.com
DNI,30,Aldous,Winram,awinramt@vimeo.com
DNI,31,Anneliese,McCoole,amccooleu@rakuten.co.jp
DNI,32,Karlee,Offill,koffillv@addtoany.com
DNI,33,Dodie,Kulis,dkulisw@forbes.com
DNI,34,Emyle,Shelmerdine,eshelmerdinex@google.cn
DNI,35,Jeanie,Di Baudi,jdibaudiy@va.gov
